addr_pct_cd,month,law_cat_cd,count,precinct_area
1,2015-01-01,FELONY,125,Financial District / Tribeca
1,2015-01-01,MISDEMEANOR,236,Financial District / Tribeca
1,2015-01-01,VIOLATION,31,Financial District / Tribeca
5,2015-01-01,FELONY,83,Chinatown / Lower East Side
5,2015-01-01,MISDEMEANOR,179,Chinatown / Lower East Side
5,2015-01-01,VIOLATION,25,Chinatown / Lower East Side
6,2015-01-01,FELONY,123,Greenwich Village / West Village
6,2015-01-01,MISDEMEANOR,170,Greenwich Village / West Village
6,2015-01-01,VIOLATION,21,Greenwich Village / West Village
7,2015-01-01,FELONY,100,Lower East Side
7,2015-01-01,MISDEMEANOR,155,Lower East Side
7,2015-01-01,VIOLATION,44,Lower East Side
9,2015-01-01,FELONY,122,East Village / Alphabet City
9,2015-01-01,MISDEMEANOR,221,East Village / Alphabet City
9,2015-01-01,VIOLATION,40,East Village / Alphabet City
10,2015-01-01,FELONY,100,Chelsea / Hudson Yards
10,2015-01-01,MISDEMEANOR,133,Chelsea / Hudson Yards
10,2015-01-01,VIOLATION,20,Chelsea / Hudson Yards
13,2015-01-01,FELONY,174,Flatiron / Midtown South
13,2015-01-01,MISDEMEANOR,245,Flatiron / Midtown South
13,2015-01-01,VIOLATION,44,Flatiron / Midtown South
14,2015-01-01,FELONY,277,Midtown South
14,2015-01-01,MISDEMEANOR,462,Midtown South
14,2015-01-01,VIOLATION,46,Midtown South
17,2015-01-01,FELONY,79,Midtown East
17,2015-01-01,MISDEMEANOR,78,Midtown East
17,2015-01-01,VIOLATION,21,Midtown East
18,2015-01-01,FELONY,197,Midtown North
18,2015-01-01,MISDEMEANOR,276,Midtown North
18,2015-01-01,VIOLATION,63,Midtown North
19,2015-01-01,FELONY,187,Upper East Side
19,2015-01-01,MISDEMEANOR,226,Upper East Side
19,2015-01-01,VIOLATION,35,Upper East Side
20,2015-01-01,FELONY,91,Upper West Side
20,2015-01-01,MISDEMEANOR,191,Upper West Side
20,2015-01-01,VIOLATION,27,Upper West Side
22,2015-01-01,FELONY,3,Central Park
22,2015-01-01,MISDEMEANOR,8,Central Park
22,2015-01-01,VIOLATION,2,Central Park
23,2015-01-01,FELONY,113,East Harlem South
23,2015-01-01,MISDEMEANOR,227,East Harlem South
23,2015-01-01,VIOLATION,64,East Harlem South
24,2015-01-01,FELONY,95,Upper West Side North
24,2015-01-01,MISDEMEANOR,214,Upper West Side North
24,2015-01-01,VIOLATION,52,Upper West Side North
25,2015-01-01,FELONY,127,East Harlem North
25,2015-01-01,MISDEMEANOR,358,East Harlem North
25,2015-01-01,VIOLATION,54,East Harlem North
26,2015-01-01,FELONY,51,Morningside Heights / Manhattanville
26,2015-01-01,MISDEMEANOR,110,Morningside Heights / Manhattanville
26,2015-01-01,VIOLATION,21,Morningside Heights / Manhattanville
28,2015-01-01,FELONY,93,West Harlem
28,2015-01-01,MISDEMEANOR,177,West Harlem
28,2015-01-01,VIOLATION,39,West Harlem
30,2015-01-01,FELONY,79,Hamilton Heights / Sugar Hill
30,2015-01-01,MISDEMEANOR,180,Hamilton Heights / Sugar Hill
30,2015-01-01,VIOLATION,39,Hamilton Heights / Sugar Hill
32,2015-01-01,FELONY,126,East Harlem Central
32,2015-01-01,MISDEMEANOR,258,East Harlem Central
32,2015-01-01,VIOLATION,75,East Harlem Central
33,2015-01-01,FELONY,107,Washington Heights South
33,2015-01-01,MISDEMEANOR,167,Washington Heights South
33,2015-01-01,VIOLATION,38,Washington Heights South
34,2015-01-01,FELONY,113,Washington Heights North
34,2015-01-01,MISDEMEANOR,166,Washington Heights North
34,2015-01-01,VIOLATION,51,Washington Heights North
40,2015-01-01,FELONY,247,South Bronx / Mott Haven
40,2015-01-01,MISDEMEANOR,524,South Bronx / Mott Haven
40,2015-01-01,VIOLATION,94,South Bronx / Mott Haven
41,2015-01-01,FELONY,186,Hunts Point
41,2015-01-01,MISDEMEANOR,289,Hunts Point
41,2015-01-01,VIOLATION,73,Hunts Point
42,2015-01-01,FELONY,144,Morrisania / Crotona Park East
42,2015-01-01,MISDEMEANOR,298,Morrisania / Crotona Park East
42,2015-01-01,VIOLATION,47,Morrisania / Crotona Park East
43,2015-01-01,FELONY,260,Soundview
43,2015-01-01,MISDEMEANOR,498,Soundview
43,2015-01-01,VIOLATION,94,Soundview
44,2015-01-01,FELONY,215,Highbridge / Grand Concourse
44,2015-01-01,MISDEMEANOR,513,Highbridge / Grand Concourse
44,2015-01-01,VIOLATION,95,Highbridge / Grand Concourse
45,2015-01-01,FELONY,82,Throgs Neck / Co-op City
45,2015-01-01,MISDEMEANOR,237,Throgs Neck / Co-op City
45,2015-01-01,VIOLATION,68,Throgs Neck / Co-op City
46,2015-01-01,FELONY,177,University Heights / Fordham
46,2015-01-01,MISDEMEANOR,346,University Heights / Fordham
46,2015-01-01,VIOLATION,79,University Heights / Fordham
47,2015-01-01,FELONY,198,Woodlawn / Wakefield
47,2015-01-01,MISDEMEANOR,311,Woodlawn / Wakefield
47,2015-01-01,VIOLATION,59,Woodlawn / Wakefield
48,2015-01-01,FELONY,151,Belmont / Tremont
48,2015-01-01,MISDEMEANOR,317,Belmont / Tremont
48,2015-01-01,VIOLATION,57,Belmont / Tremont
49,2015-01-01,FELONY,108,Pelham Parkway / Morris Park
49,2015-01-01,MISDEMEANOR,225,Pelham Parkway / Morris Park
49,2015-01-01,VIOLATION,45,Pelham Parkway / Morris Park
50,2015-01-01,FELONY,83,Riverdale / Kingsbridge
50,2015-01-01,MISDEMEANOR,153,Riverdale / Kingsbridge
50,2015-01-01,VIOLATION,36,Riverdale / Kingsbridge
52,2015-01-01,FELONY,216,Norwood / Bedford Park
52,2015-01-01,MISDEMEANOR,438,Norwood / Bedford Park
52,2015-01-01,VIOLATION,72,Norwood / Bedford Park
60,2015-01-01,FELONY,155,Coney Island / Brighton Beach
60,2015-01-01,MISDEMEANOR,203,Coney Island / Brighton Beach
60,2015-01-01,VIOLATION,59,Coney Island / Brighton Beach
61,2015-01-01,FELONY,142,Sheepshead Bay / Madison
61,2015-01-01,MISDEMEANOR,197,Sheepshead Bay / Madison
61,2015-01-01,VIOLATION,59,Sheepshead Bay / Madison
62,2015-01-01,FELONY,136,Bensonhurst
62,2015-01-01,MISDEMEANOR,213,Bensonhurst
62,2015-01-01,VIOLATION,62,Bensonhurst
63,2015-01-01,FELONY,105,Marine Park / Mill Basin
63,2015-01-01,MISDEMEANOR,180,Marine Park / Mill Basin
63,2015-01-01,VIOLATION,43,Marine Park / Mill Basin
66,2015-01-01,FELONY,149,Borough Park
66,2015-01-01,MISDEMEANOR,164,Borough Park
66,2015-01-01,VIOLATION,30,Borough Park
67,2015-01-01,FELONY,270,East Flatbush
67,2015-01-01,MISDEMEANOR,264,East Flatbush
67,2015-01-01,VIOLATION,125,East Flatbush
68,2015-01-01,FELONY,95,Bay Ridge / Dyker Heights
68,2015-01-01,MISDEMEANOR,163,Bay Ridge / Dyker Heights
68,2015-01-01,VIOLATION,47,Bay Ridge / Dyker Heights
69,2015-01-01,FELONY,116,Canarsie
69,2015-01-01,MISDEMEANOR,162,Canarsie
69,2015-01-01,VIOLATION,54,Canarsie
70,2015-01-01,FELONY,175,Flatbush / Ditmas Park
70,2015-01-01,MISDEMEANOR,261,Flatbush / Ditmas Park
70,2015-01-01,VIOLATION,69,Flatbush / Ditmas Park
71,2015-01-01,FELONY,162,Crown Heights North
