index,addr_pct_cd,date,law_cat_cd,count,precinct_area,areaName,Borough,areaType,median_rent,Neighborhood,ZIP Codes,danger_ratio
0,1,2015-01,FELONY,125,Financial District / Tribeca,All Downtown,MANHATTAN,submarket,3600.0,Lower Manhattan,"[10004, 10005, 10006, 10007, 10038, 10280]",0.10416666666666667
1,1,2015-01,MISDEMEANOR,236,Financial District / Tribeca,All Downtown,MANHATTAN,submarket,3600.0,Lower Manhattan,"[10004, 10005, 10006, 10007, 10038, 10280]",0.13111111111111112
2,1,2015-01,VIOLATION,31,Financial District / Tribeca,All Downtown,MANHATTAN,submarket,3600.0,Lower Manhattan,"[10004, 10005, 10006, 10007, 10038, 10280]",0.008611111111111111
3,6,2015-01,FELONY,123,Greenwich Village / West Village,West Village,MANHATTAN,neighborhood,3750.0,Greenwich Village and Soho,"[10012, 10013, 10014]",0.0984
4,6,2015-01,MISDEMEANOR,170,Greenwich Village / West Village,West Village,MANHATTAN,neighborhood,3750.0,Greenwich Village and Soho,"[10012, 10013, 10014]",0.09066666666666667
5,6,2015-01,VIOLATION,21,Greenwich Village / West Village,West Village,MANHATTAN,neighborhood,3750.0,Greenwich Village and Soho,"[10012, 10013, 10014]",0.0056
6,9,2015-01,FELONY,122,East Village / Alphabet City,East Village,MANHATTAN,neighborhood,3000.0,Lower East Side,"[10002, 10003, 10009]",0.122
7,9,2015-01,MISDEMEANOR,221,East Village / Alphabet City,East Village,MANHATTAN,neighborhood,3000.0,Lower East Side,"[10002, 10003, 10009]",0.14733333333333334
8,9,2015-01,VIOLATION,40,East Village / Alphabet City,East Village,MANHATTAN,neighborhood,3000.0,Lower East Side,"[10002, 10003, 10009]",0.013333333333333334
9,10,2015-01,FELONY,100,Chelsea / Hudson Yards,Chelsea,MANHATTAN,neighborhood,3795.0,Chelsea and Clinton,"[10001, 10011, 10018, 10019, 10020, 10036]",0.07905138339920949
